© 2000-2023 QIAGEN. All rights reserved.

Diseases and Bio Functions	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
Glycosylation of protein	-0.772	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Embryonal tumor of brain	N/A	-0.759	N/A	N/A	N/A	N/A	N/A	N/A
Density of synapse	N/A	N/A	N/A	N/A	N/A	N/A	0.479	0.275
Glioma cancer	N/A	N/A	-0.748	N/A	N/A	N/A	N/A	N/A
High grade astrocytoma	N/A	N/A	-0.748	N/A	N/A	N/A	N/A	N/A
High grade glioma	N/A	N/A	-0.748	N/A	N/A	N/A	N/A	N/A
Blastoma	N/A	N/A	-0.748	N/A	N/A	N/A	N/A	N/A
Maturation of nervous tissue	N/A	N/A	N/A	N/A	N/A	0.742	N/A	N/A
Amplification of centrosome	N/A	-0.73	N/A	N/A	N/A	N/A	N/A	N/A
Growth of smooth muscle	N/A	N/A	N/A	-0.724	N/A	N/A	N/A	N/A
Transmembrane potential of mitochondria	0.718	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Apoptosis of pheochromocytoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	0.71	N/A
Quantity of vesicles	N/A	N/A	N/A	N/A	N/A	N/A	0.707	N/A
Cell death of pheochromocytoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	0.705	N/A
Cell death of pancreatic cancer cell lines	-0.691	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Necrosis of prostate cancer cell lines	-0.687	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Interphase of breast cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	0.686	N/A
Lymphoid cancer	N/A	N/A	-0.648	N/A	N/A	-0.037	N/A	N/A
DNA damage	-0.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lung carcinoma	N/A	N/A	N/A	N/A	-0.365	-0.308	N/A	N/A
Hematopoiesis of mononuclear leukocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-0.664
Development of tumor cell lines	N/A	0.037	N/A	N/A	N/A	0.066	-0.56	N/A
Proliferation of oligodendrocytes	N/A	N/A	N/A	N/A	N/A	N/A	0.663	N/A
B-cell non-Hodgkin lymphoma	N/A	N/A	0.44	N/A	N/A	-0.218	N/A	N/A
Long-term potentiation of hippocampus	N/A	N/A	0.658	N/A	N/A	N/A	N/A	N/A
Degeneration of epithelial tissue	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.655
Neoplasia of lymphoid organ	N/A	N/A	N/A	N/A	N/A	-0.652	N/A	N/A
Head and neck squamous cell carcinoma	N/A	N/A	0.651	N/A	N/A	N/A	N/A	N/A
Gliosis of cerebral cortex	-0.651	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Degeneration of neuroglia	N/A	N/A	N/A	-0.651	N/A	N/A	N/A	N/A
Apoptosis of brain cells	N/A	N/A	N/A	N/A	N/A	N/A	-0.636	N/A
Apoptosis of central nervous system cells	N/A	N/A	N/A	N/A	N/A	N/A	-0.636	N/A
Metabolism of DNA	-0.5	-0.131	N/A	N/A	N/A	N/A	N/A	N/A
Apoptosis of prostate cancer cell lines	-0.624	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell death of breast cancer cell lines	N/A	0.614	N/A	N/A	N/A	N/A	N/A	N/A
Maturation of cells	N/A	N/A	N/A	-0.609	N/A	N/A	N/A	N/A
Colony formation of blood cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.592
Quantity of connective tissue	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.58
Proliferation of smooth muscle cells	N/A	N/A	N/A	-0.563	N/A	N/A	N/A	N/A
Exocytosis of granules	N/A	-0.555	N/A	N/A	N/A	N/A	N/A	N/A
Elongation of mitochondria	0.555	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Apoptosis of cervical cancer cell lines	N/A	0.552	N/A	N/A	N/A	N/A	N/A	N/A
Mature B-cell neoplasm	N/A	N/A	-0.391	N/A	N/A	-0.152	N/A	N/A
Mature lymphocytic neoplasm	N/A	N/A	-0.391	N/A	N/A	-0.152	N/A	N/A
Mature B cell malignant tumor	N/A	N/A	-0.391	N/A	N/A	-0.152	N/A	N/A
Cancer of head	N/A	N/A	0.427	N/A	N/A	0.115	N/A	N/A
Vascular tumor	N/A	0.537	N/A	N/A	N/A	N/A	N/A	N/A
Cardiovascular neoplasm	N/A	0.537	N/A	N/A	N/A	N/A	N/A	N/A
Angioma	N/A	0.537	N/A	N/A	N/A	N/A	N/A	N/A
Hemangioma	N/A	0.537	N/A	N/A	N/A	N/A	N/A	N/A
Synthesis of amine	N/A	0.516	N/A	N/A	N/A	N/A	N/A	N/A
Disassembly of actin filaments	N/A	-0.499	N/A	N/A	N/A	N/A	N/A	N/A
Migration of endothelial cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-0.498
Movement of vascular endothelial cells	N/A	N/A	N/A	-0.485	N/A	N/A	N/A	N/A
Head and neck carcinoma	N/A	N/A	0.479	N/A	N/A	N/A	N/A	N/A
Transactivation	N/A	N/A	N/A	N/A	-0.128	0.338	N/A	N/A
Survival of organism	N/A	N/A	N/A	N/A	N/A	N/A	-0.46	N/A
Cleavage of cells	N/A	-0.458	N/A	N/A	N/A	N/A	N/A	N/A
Apoptosis of fibroblast cell lines	N/A	0.453	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of synaptic vesicles	N/A	N/A	N/A	N/A	N/A	N/A	0.447	N/A
Coordination of limb	0.447	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of astrocytes	N/A	N/A	N/A	N/A	N/A	0.443	N/A	N/A
Colony formation of tumor cell lines	N/A	0.135	N/A	N/A	N/A	-0.306	N/A	N/A
Formation of dendritic spines	N/A	N/A	-0.439	N/A	N/A	N/A	N/A	N/A
Lymphocytic neoplasm	N/A	N/A	-0.409	N/A	-0.029	N/A	N/A	N/A
Development of lung tumor	N/A	N/A	N/A	N/A	-0.437	N/A	N/A	N/A
Cell death of epithelial cell lines	N/A	0.433	N/A	N/A	N/A	N/A	N/A	N/A
Cell proliferation of melanoma cell lines	N/A	-0.43	N/A	N/A	N/A	N/A	N/A	N/A
Adrenal gland tumor	N/A	N/A	0.424	N/A	N/A	N/A	N/A	N/A
Apoptosis of brain	N/A	N/A	N/A	N/A	N/A	N/A	-0.417	N/A
Pulmonary fibrosis or aplastic anemia	0.094	N/A	N/A	0.314	N/A	N/A	N/A	N/A
Intestinal cancer	N/A	N/A	-0.066	0.328	N/A	N/A	N/A	N/A
Uptake of monosaccharide	N/A	N/A	N/A	0.394	N/A	N/A	N/A	N/A
Cell viability of kidney cell lines	-0.389	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cerebellar lesion	N/A	-0.389	N/A	N/A	N/A	N/A	N/A	N/A
G2 phase	N/A	0.378	N/A	N/A	N/A	N/A	N/A	N/A
Cell movement of melanoma cells	N/A	N/A	N/A	0.378	N/A	N/A	N/A	N/A
Formation of spindle apparatus	-0.378	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of mitotic spindle	-0.378	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Shape change of axons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.371
Leukoencephalopathy	N/A	N/A	0.371	N/A	N/A	N/A	N/A	N/A
Congenital heart disease	N/A	0.355	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of brain cells	N/A	N/A	N/A	N/A	N/A	N/A	0.346	N/A
Bile duct carcinoma	N/A	N/A	-0.343	N/A	N/A	N/A	N/A	N/A
Biliary tract cancer	N/A	N/A	-0.343	N/A	N/A	N/A	N/A	N/A
Bile duct cancer	N/A	N/A	-0.343	N/A	N/A	N/A	N/A	N/A
Biliary tract carcinoma	N/A	N/A	-0.343	N/A	N/A	N/A	N/A	N/A
Cell viability of neurons	N/A	N/A	N/A	0.342	N/A	N/A	N/A	N/A
Localization of protein	N/A	N/A	N/A	N/A	-0.314	N/A	N/A	N/A
Vaso-occlusion	N/A	N/A	N/A	0.306	N/A	N/A	N/A	N/A
Apoptosis of tumor cells	N/A	0.303	N/A	N/A	N/A	N/A	N/A	N/A
Cell death of cortical neurons	-0.293	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Proliferation of brain cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.293
Incorporation of amino acids	0.277	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lymphoproliferative disorder	N/A	N/A	-0.276	N/A	N/A	N/A	N/A	N/A
Redistribution of lipid	N/A	N/A	N/A	-0.254	N/A	N/A	N/A	N/A
Migration of smooth muscle cells	N/A	0.25	N/A	N/A	N/A	N/A	N/A	N/A
Haptotaxis of cells	0.247	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Epilepsy	N/A	N/A	N/A	N/A	0.0	-0.239	N/A	N/A
Quantity of central nervous system cells	N/A	N/A	N/A	N/A	N/A	N/A	-0.237	N/A
Activation of microglia	N/A	N/A	N/A	0.232	N/A	N/A	N/A	N/A
Death of embryo	-0.221	N/A	N/A	N/A	N/A	N/A	N/A	N/A
T-cell non-Hodgkin lymphoma	N/A	N/A	N/A	N/A	N/A	-0.218	N/A	N/A
Cell viability of myeloma cell lines	N/A	-0.21	N/A	N/A	N/A	N/A	N/A	N/A
Proliferation of prostate cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-0.187
Familial encephalopathy	N/A	N/A	-0.186	N/A	N/A	N/A	N/A	N/A
Cell viability of gastrointestinal stromal tumor cell lines	N/A	-0.184	N/A	N/A	N/A	N/A	N/A	N/A
Transformation of embryonic cell lines	N/A	-0.181	N/A	N/A	N/A	N/A	N/A	N/A
Progressive neuropathy	N/A	0.094	0.084	N/A	N/A	N/A	N/A	N/A
Formation of nuclear envelope	N/A	-0.152	N/A	N/A	N/A	N/A	N/A	N/A
Mature B-cell lymphoma	N/A	N/A	0.0	N/A	N/A	-0.152	N/A	N/A
Endocrine cancer	N/A	N/A	0.152	N/A	N/A	N/A	N/A	N/A
Binding of progesterone	0.152	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Initiation of translation of protein	N/A	0.152	N/A	N/A	N/A	N/A	N/A	N/A
Epileptic seizure	N/A	N/A	N/A	N/A	N/A	0.152	N/A	N/A
Nodule	N/A	0.152	N/A	N/A	N/A	N/A	N/A	N/A
Invasive cancer	N/A	N/A	N/A	N/A	-0.152	N/A	N/A	N/A
Endocrine carcinoma	N/A	N/A	0.152	N/A	N/A	N/A	N/A	N/A
Sprouting angiogenesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-0.152
Cell movement of endothelial cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-0.145
Cell proliferation of sarcoma cell lines	N/A	-0.141	N/A	N/A	N/A	N/A	N/A	N/A
Cell movement of muscle cells	N/A	0.135	N/A	N/A	N/A	N/A	N/A	N/A
Branching of vasculature	N/A	N/A	N/A	N/A	N/A	N/A	0.135	N/A
Neoplasia of epithelial cells	N/A	N/A	N/A	N/A	0.13	N/A	N/A	N/A
Interaction of neuroglia	N/A	N/A	N/A	-0.13	N/A	N/A	N/A	N/A
Auditory evoked potential	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.128
Colony formation of hematopoietic cell lines	N/A	0.128	N/A	N/A	N/A	N/A	N/A	N/A
Binding of neuroglia	N/A	N/A	N/A	0.127	N/A	N/A	N/A	N/A
Generation of reactive oxygen species	0.122	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sensation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-0.114
Invasion of adenocarcinoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	-0.114	N/A
Cell movement of vascular smooth muscle cells	N/A	-0.107	N/A	N/A	N/A	N/A	N/A	N/A
Progressive motor neuropathy	N/A	N/A	0.094	N/A	N/A	N/A	N/A	N/A
Progressive motor neuron disease	N/A	N/A	0.094	N/A	N/A	N/A	N/A	N/A
Growth of head	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.086
Uterine tumor	N/A	N/A	0.083	N/A	N/A	N/A	N/A	N/A
Cell viability of central nervous system cells	N/A	N/A	N/A	-0.068	N/A	N/A	N/A	N/A
Development of gap junctions	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-0.063
Proliferation of epithelial cell lines	N/A	-0.057	N/A	N/A	N/A	N/A	N/A	N/A
Cell movement of smooth muscle cells	N/A	-0.033	N/A	N/A	N/A	N/A	N/A	N/A
Colon carcinoma	N/A	N/A	N/A	-0.025	N/A	N/A	N/A	N/A
Colorectal carcinoma	N/A	N/A	N/A	-0.025	N/A	N/A	N/A	N/A
Large intestine carcinoma	N/A	N/A	N/A	-0.025	N/A	N/A	N/A	N/A
Concentration of lipid	N/A	N/A	N/A	-0.017	N/A	N/A	N/A	N/A
Atherosclerosis	N/A	N/A	N/A	-0.005	N/A	N/A	N/A	N/A
Migration of colorectal cancer cell lines	N/A	N/A	N/A	N/A	N/A	0.002	N/A	N/A
Accumulation of selenium	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Smooth muscle tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell cycle progression of prostatic adenocarcinoma cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of body cavity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell-cell adhesion of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolism of ATP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Outgrowth of dendrites	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Head and neck oncocytoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Length of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of synaptic spine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oligodendroglioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diabetic foot ulcer disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in G1 phase of lung cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inflammation of spinal cord	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HNSHA due to aldolase a deficiency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hypoplasia of islets of Langerhans	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial pervasive developmental disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Advanced stage acanthosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Fragmentation of actin filaments	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Small intestine cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitotic exit DNA damage checkpoint	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Failure of bone marrow	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Grade 3 glioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Early-onset progressive encephalopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Generalized epilepsy with febrile seizures plus type 7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Maculopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chronic cough	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transmigration of macrophages	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Breakdown of dopamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hypertrophy of intestinal villus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Renal clear cell adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial Parkinson disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary Eye Disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Colony formation of erythroid cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Catabolism of glycoprotein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of ear	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ductal breast carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitochondrial disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Corpus uteri carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hyperplasia of heart	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lyme arthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitochondrial myopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I metastatic non-small cell lung carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolism of mRNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Esophageal cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Leiomyoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary neuropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Acute pancreatitis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Aplastic anemia or thalassemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of intermediate filaments	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diabetic complication	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Extrapulmonary squamous cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Early stage solid tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary malformation of cortical development	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chronic skin disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Large intestine adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diamond-Blackfan anemia type 11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary polyneuropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cellulite of the buttocks	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of rhombencephalon	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormality of endometrium	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Refractory malignant tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gastro-esophageal carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal recessive neurological disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endometrioid endometrial adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Encephalomyopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I-II tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of nervous system	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Muscle tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bleeding of smooth muscle	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
X-linked hereditary disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mixed phenotype acute leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Distribution of cholesterol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pharmacologically induced seizure	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Refractory hematologic cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ecchymosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Schizophrenia spectrum disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of dendrites	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Removal of reactive oxygen species	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Poorly differentiated endocrine carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autism spectrum disorder or intellectual disability	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Acetylation of Histone h2a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Proliferation of sensory neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Female genital tract serous carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Enuresis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in G1 phase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pancreatic tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gastroesophageal cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Focal cortical dysplasia of Taylor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Disorganization of inner nuclear layer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hyperpolarization of embryonic cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary papillary thyroid carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Progression of mammary tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial colorectal cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of cochlea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Major affective disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Size of head	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tuberous sclerosis complex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell cycle progression of endocrine cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adenoid cystic carcinoma of salivary gland	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Enlargement of early endosomes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial mental retardation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endoplasmic reticulum stress response of cervical cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Folding maturation of protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Clear cell neoplasm	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of primitive neuroectodermal tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Degeneration of stromal cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oral cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Renal colic	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Active stage osteoarthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Colony formation of cervical cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Extraintestinal functional disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
X-linked mental retardation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Axonal Charcot-Marie-Tooth disease type 2V	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oral lesion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Active stage primary gout	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Complex V deficiency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Invasive lung cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Congenital atransferrinemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial brain tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Oral squamous cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Testicular germ cell tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary sensory neuropathy type IID	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Malignant mixed Mullerian tumor in endometrium	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial febrile seizures 3b	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of nervous system	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Salivary gland carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Duodenal adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chemotaxis of endothelial progenitor cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Syndromic encephalopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diamond-Blackfan anemia type 17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Binding of hepatocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metastatic neuroendocrine tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Alignment of actin filaments	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Age-related macular degeneration type 5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of central nervous system	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Frontotemporal degeneration spectrum disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal respiration	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of vertebral column	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Urothelial bladder carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Acute shoulder pain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Large-cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Migration of embryonic cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Refractory acute leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dupuytren contracture	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Clustering of late spermatids	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adhesion of germ cell tumor cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Leber optic atrophy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bosch-Boonstra-Schaaf optic atrophy syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary optic atrophy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Duodenal cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Binding of neuroblastoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Capillary hemangioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adrenal cortex tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Charcot-Marie-Tooth disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Loss of chromosomes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ovarian adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
